"col0","col1","col2","col3","col4","col5","col6","LocName","fX","fY","iConf","iLvl"
39,私立,平野,におの浜保育園,大津市におの浜二丁目2-10,定員：120,6ヶ月～,"滋賀県/大津市/におの浜/二丁目/２番","135.88107","35.00540","5","7"
40,私立,晴嵐,京進のほいくえんHOPPA石山駅,大津市松原町3-3,定員：60,6ヶ月～,"滋賀県/大津市/松原町/３番","135.90460","34.97972","5","7"
41,私立,晴嵐,つばさ保育園,大津市鳥居川町8-5-2,定員：60,4ヶ月～,"滋賀県/大津市/鳥居川町/８番","135.90175","34.97408","5","7"
42,私立,晴嵐,石山くじら保育園,大津市国分一丁目15-73,定員：60,生後57日～,"滋賀県/大津市/国分/一丁目/１５番","135.89807","34.96821","5","7"
43,私立,田上,田上保育園,大津市稲津二丁目5-7,定員：60,生後57日～,"滋賀県/大津市/稲津/二丁目/５番","135.91553","34.94811","5","7"
44,私立,青山,正休保育園,大津市桐生一丁目17－18,定員：70,6ヶ月～,"滋賀県/大津市/桐生/一丁目/１７番","135.98543","34.97348","5","7"
45,私立,青山,正休ののはな保育園,大津市松が丘七丁目16-1,定員：100,3ヶ月～,"滋賀県/大津市/松が丘/七丁目/１６番","135.96535","34.97172","5","7"
46,私立,瀬田南,つくし保育園,大津市瀬田一丁目2-19,定員：90,生後43日～,"滋賀県/大津市/瀬田/一丁目/２番","135.91133","34.97696","5","7"
47,私立,瀬田南,たんぽぽ保育園,大津市神領三丁目15-1,定員：90,生後43日～,"滋賀県/大津市/神領/三丁目/１５番","135.91557","34.96909","5","7"
48,私立,瀬田南,玉野浦保育園,大津市玉野浦12-1,定員：60,生後57日～,"滋賀県/大津市/玉野浦/１２番","135.90996","34.98188","5","7"
49,私立,瀬田,あおぞら保育園,大津市大江一丁目36-1,定員：100,生後43日～,"滋賀県/大津市/大江/一丁目/３６番","135.91206","34.98146","5","7"
50,私立,瀬田,博愛保育園,大津市大江六丁目1-1,定員：130,2ヶ月～,"滋賀県/大津市/大江/六丁目/１番","135.92024","34.97786","5","7"
51,私立,瀬田,レイモンド大津保育園,大津市一里山七丁目1-1,定員：90,生後58日～,"滋賀県/大津市/一里山/七丁目/１番","135.93364","34.97409","5","7"
52,私立,,,大津市フォレオ大津一里山1階,,,"滋賀県/大津市","135.85466","35.01836","3","3"
53,私立,瀬田北,おおがや愛保育園,大津市大萱四丁目3-11,定員：90,生後57日～,"滋賀県/大津市/大萱/四丁目/３番","135.91373","34.98656","5","7"
54,私立,瀬田北,レイモンド淡海保育園,大津市萱野浦2-1,定員：70,生後57日～,"滋賀県/大津市/萱野浦/２番","135.90996","34.99181","5","7"
55,私立,瀬田北,京進のほいくえんHOPPA大将軍,大津市大将軍一丁目3-14,定員：70,6ヶ月～,"滋賀県/大津市/大将軍/一丁目/３番","135.92062","34.99305","5","7"
56,私立,瀬田北,京進のほいくえんHOPPA大将軍なごみ,大津市大将軍二丁目8-25,定員：60,6ヶ月～,"滋賀県/大津市/大将軍/二丁目/８番","135.93304","34.99203","5","7"
57,私立,瀬田東,トレジャーキッズつきのわ保育園,大津市月輪二丁目2-27,定員：80,生後57日～,"滋賀県/大津市/月輪/二丁目/２番","135.93260","34.98737","5","7"
58,私立,瀬田東,グレイス一里山保育園,大津市一里山三丁目17-12,定員：80,生後57日～,"滋賀県/大津市/一里山/三丁目/１７番","135.93416","34.98420","5","7"
59,私認,和邇,アスクわにこども園,大津市和邇中浜489-1,1号定員:6,6ヶ月～,"滋賀県/大津市/和邇中浜/４８９番地","135.92346","35.16148","5","7"
60,私認,真野北,麗湖こども園,大津市花園町13-36,1号定員:15,3ヶ月～,"滋賀県/大津市/花園町/１３番","135.91487","35.13846","5","7"
61,私認,堅田,わかばこども園,大津市今堅田三丁目25-25,1号定員:15,6ヶ月～,"滋賀県/大津市/今堅田/三丁目/２５番","135.92775","35.12952","5","7"
62,私認,堅田,そよ風のぞみこども園,大津市今堅田一丁目10-1　　　　　　　　　地図を見る,1号定員:15,4ヶ月～,"滋賀県/大津市/今堅田/一丁目/１０番","135.92270","35.11912","5","7"
63,私認,堅田,本福寺こども園,大津市本堅田一丁目22-30,1号定員:45,2ヶ月～,"滋賀県/大津市/本堅田/一丁目/２２番","135.91898","35.11132","5","7"
64,私認,堅田,第二本福寺こども園,大津市本堅田六丁目14-11,1号定員:60,2ヶ月～,"滋賀県/大津市/本堅田/六丁目","135.91042","35.11859","5","6"
65,私認,仰木の里,認定こども園はぐくみの家仰木星の子,大津市仰木の里一丁目28-1,1号定員:15,2ヶ月～,"滋賀県/大津市/仰木の里/一丁目/２８番","135.88800","35.10279","5","7"
66,私認,雄琴,認定こども園星の子保育園,大津市雄琴二丁目17-13,1号定員:15,2ヶ月～,"滋賀県/大津市/雄琴/二丁目/１７番","135.89201","35.09192","5","7"
67,私認,雄琴,認定こども園ひだまりの家第二星の子,大津市雄琴一丁目9-22,1号定員:15,2ヶ月～,"滋賀県/大津市/雄琴/一丁目/９番","135.89201","35.09100","5","7"
68,私認,日吉台,日吉台至明こども園,大津市日吉台三丁目33-2,1号定員:15,3ヶ月～,"滋賀県/大津市/日吉台/三丁目/３３番","135.87624","35.08285","5","7"
69,私認,坂本,日吉の森こども園,大津市坂本六丁目9-7,1号定員:15,3ヶ月～,"滋賀県/大津市/坂本/六丁目/９番","135.87221","35.07688","5","7"
70,私認,下阪本,ひえいの森こども園,大津市比叡辻一丁目11-17　　　　　　　　地図を見る,1号定員:15,3ヶ月～,"滋賀県/大津市/比叡辻/一丁目/１１番","135.88586","35.07160","5","7"
71,私認,唐崎,蓮美幼児学園唐崎キンダースクール,大津市唐崎一丁目15-12,1号定員:12,6ヶ月～,"滋賀県/大津市/唐崎/一丁目/１５番","135.87250","35.05015","5","7"
72,私認,唐崎,聖パウロこども園,大津市見世一丁目1-35,1号定員:80,6ヶ月～,"滋賀県/大津市/見世/一丁目/１番","135.86130","35.03873","5","7"
73,私認,長等,みつばちこども園,大津市観音寺10-25,1号定員:15,3ヶ月～,"滋賀県/大津市/観音寺/１０番","135.85928","35.01530","5","7"
74,私認,滋賀,大津京こども園（みつばちこども園分園）,大津市桜野町一丁目19-7,1号定員:0,3ヶ月～,"滋賀県/大津市/桜野町/一丁目/１９番","135.85533","35.02554","5","7"
75,私認,藤尾,永興藤尾こども園,大津市茶戸町22-6,1号定員:15,2ヶ月～,"滋賀県/大津市/茶戸町/２２番","135.82982","34.99410","5","7"
76,私認,逢坂,大津さくらこども園,大津市春日町1-1,1号定員:35,6ヶ月～,"滋賀県/大津市/春日町/１番","135.86545","35.00318","5","7"
77,私認,中央,レイモンドみらい園,大津市中央二丁目2-20,1号定員:6,3ヶ月～,"滋賀県/大津市/中央/二丁目/２番","135.86540","35.00871","5","7"
78,私認,平野,聖母こども園,大津市馬場二丁目6-62,1号定員:85,2歳児～,"滋賀県/大津市/馬場/二丁目/６番","135.88042","35.00111","5","7"
79,私認,膳所,保育所型認定こども園湖のこ保育園,大津市相模町8-1,1号定員:15,生後56日～,"滋賀県/大津市/相模町/８番","135.88385","34.99625","5","7"
80,私認,膳所,認定こども園聖愛幼稚園,大津市中庄一丁目2-1,1号定員:25,3歳児～,"滋賀県/大津市/中庄/一丁目/２番","135.89171","34.99086","5","7"
81,私認,膳所,アスク御殿浜こども園,大津市御殿浜19-15,1号定員:15,6ヶ月～,"滋賀県/大津市/御殿浜/１９番","135.89706","34.98682","5","7"
82,私認,晴嵐,大津あいあい保育園,大津市鳥居川町16-20　　　　　　　　地図を見る,1号定員:15,3ヶ月～,"滋賀県/大津市/鳥居川町/１６番","135.90274","34.97224","5","7"
83,私認,晴嵐,保育所型認定こども園ぐろうすきっず北大路保育園,大津市北大路三丁目21-10,1号定員:6,生後57日～,"滋賀県/大津市/北大路/三丁目/２１番","135.88818","34.96996","5","7"
84,私認,富士見,茶臼山こども園,大津市秋葉台31-40,1号定員:45,6ヶ月～,"滋賀県/大津市/秋葉台/３１番","135.88098","34.98909","5","7"
85,私認,富士見,永興富士見こども園,大津市富士見台3-30,1号定員:15,2ヶ月～,"滋賀県/大津市/富士見台/３番","135.88788","34.98564","5","7"
86,私認,石山,石山寺こども園,大津市石山寺二丁目25-43,1号定員:15,3ヶ月～,"滋賀県/大津市/石山寺/二丁目/２５番","135.90791","34.95911","5","7"
87,私認,石山,保育の家しょうなん,大津市平津二丁目4-9,1号定員:15,3ヶ月～,"滋賀県/大津市/平津/二丁目/４番","135.90388","34.95261","5","7"
88,私認,南郷,南郷こども園,大津市南郷二丁目47-7,1号定員:15,6ヶ月～,"滋賀県/大津市/南郷/二丁目/４７番","135.90054","34.94174","5","7"
89,私認,瀬田南,みどりこども園,大津市瀬田三丁目23-3,1号定員:15,5ヶ月～,"滋賀県/大津市/瀬田/三丁目/２３番","135.91052","34.96558","5","7"
90,私認,瀬田,レイモンド瀬田こども園,大津市大江四丁目12-34,1号定員:15,4ヶ月～,"滋賀県/大津市/大江/四丁目/１２番","135.92401","34.98104","5","7"
91,私認,瀬田北,レイモンド大萱こども園,大津市大萱四丁目10-50,1号定員:6,生後57日～,"滋賀県/大津市/大萱/四丁目/１０番","135.91609","34.98756","5","7"
92,私認,瀬田北,ひかりこども園,大津市大萱三丁目11-14　　　　　　　　　地図を見る,1号定員:15,6ヶ月～,"滋賀県/大津市/大萱/三丁目/１１番","135.91989","34.98818","5","7"
93,私認,瀬田北,大将軍ひかりこども園,大津市大将軍三丁目19-2　　　　　　　　　地図を見る,1号定員:15,6ヶ月～,"滋賀県/大津市/大将軍/三丁目/１９番","135.92775","34.99120","5","7"
94,私認,瀬田東,一里山ひかりこども園,大津市一里山二丁目19-10　　　　　　　　地図を見る,1号定員:15,6ヶ月～,"滋賀県/大津市/一里山/二丁目/１９番","135.93037","34.98442","5","7"
95,私認,瀬田東,びわこきららこども園,大津市月輪五丁目4-1,1号定員:60,6ヶ月～,"滋賀県/大津市/月輪/五丁目/４番","135.93855","34.97941","5","7"
96,私認,瀬田東,学園前こども園,大津市一里山五丁目10-7,1号定員:12,2ヶ月～,"滋賀県/大津市/一里山/五丁目/１０番","135.93332","34.97773","5","7"
97,私地,和邇,こころ咲く,大津市和邇北浜678-10,定員:5,10ヶ月～,"滋賀県/大津市/和邇北浜/６７８番地","135.91437","35.17056","5","7"
98,私地,和邇,Happy♪マグ,大津市和邇中105-9,定員:5,2ヶ月～,"滋賀県/大津市/和邇中/１０５番地","135.92009","35.15617","5","7"
99,私地,和邇,ちびっこるーむ和邇保育室,大津市和邇今宿843-1,定員:19,生後57日～,"滋賀県/大津市/和邇今宿/８４３番地","135.92416","35.15905","5","7"
100,私地,堅田,にじいろ,大津市本堅田六丁目8-4,定員:5,3ヶ月～,"滋賀県/大津市/本堅田/六丁目/８番","135.90840","35.11735","5","7"
101,私地,堅田,ちびっこるーむ,大津市今堅田二丁目35-53,定員:19,生後57日～,"滋賀県/大津市/今堅田/二丁目/３５番","135.92284","35.12392","5","7"
102,私地,坂本,家庭的保育園まみぃ,大津市坂本一丁目20-50-2,定員:19,生後57日～,"滋賀県/大津市/坂本/一丁目/２０番","135.86813","35.06235","5","7"
103,私地,坂本,スクルドエンジェル保育園坂本園,大津市坂本三丁目32-1,定員:19,2ヶ月～,"滋賀県/大津市/坂本/三丁目/３２番","135.87886","35.06996","5","7"
104,私地,下阪本,みつはま保育園まみぃ,大津市下阪本三丁目4-29,定員:19,生後57日～,"滋賀県/大津市/下阪本/三丁目/４番","135.87796","35.06150","5","7"
105,私地,下阪本,みらいもみじ保育園,大津市下阪本二丁目10-10,定員:19,6ヶ月～,"滋賀県/大津市/下阪本/二丁目/１０番","135.87061","35.05717","5","7"
106,私地,滋賀,おーろら保育園,大津市二本松1-1（ブランチ大津京　SGパーク内）,定員:19,6ヶ月～,"滋賀県/大津市/二本松/１番","135.86472","35.02972","5","7"
107,私地,滋賀,まごころ保育園,桜野町一丁目15-3,定員:19,4ヶ月～,"滋賀県/大津市/桜野町/一丁目/１５番","135.85609","35.02755","5","7"
108,私地,長等,あすなろ,大津市山上町13-6,定員:8,2ヶ月～,"滋賀県/大津市/山上町/１３番","135.85208","35.02005","5","7"
109,私地,長等,大津京サンフレンズ保育園,大津市皇子が丘二丁目7-32,定員:19,生後57日～,"滋賀県/大津市/皇子が丘/二丁目/７番","135.85674","35.02451","5","7"
110,私地,長等,ここいろ保育園,大津市三井寺町4-1,定員:8,6ヶ月～,"滋賀県/大津市/三井寺町/４番","135.85571","35.00972","5","7"
111,私地,逢坂,家庭的保育室ぽこぁぽこ,大津市朝日が丘一丁目14-4,定員:5,生後57日～,"滋賀県/大津市/朝日が丘/一丁目/１４番","135.86885","35.00065","5","7"
112,私地,逢坂,小規模保育所ぽっけ,大津市御幸町5-17,定員:12,生後57日～,"滋賀県/大津市/御幸町/５番","135.86319","35.00569","5","7"
113,私地,中央,こみの,大津市浜大津一丁目2-4,定員:5,生後57日～,"滋賀県/大津市/浜大津/一丁目/２番","135.86351","35.01073","5","7"
114,私地,中央,ニチイキッズ大津京町保育園,大津市京町三丁目2-10,定員:19,生後57日～,"滋賀県/大津市/京町/三丁目/２番","135.86661","35.00539","5","7"
115,私地,平野,家庭的保育室すてっぷ,大津市馬場三丁目10番11-1号,定員:5,生後57日～,"滋賀県/大津市/馬場/三丁目/１０番","135.88387","34.99920","5","7"
116,私地,平野,TAMランド打出浜なぎさ園,大津市打出浜3-16,定員:19,6ヶ月～,"滋賀県/大津市/打出浜/３番","135.87582","35.00545","5","7"
117,私地,膳所,かもめ,大津市丸の内町9-30　,定員:5,生後57日～,"滋賀県/大津市/丸の内町/９番","135.89404","34.99526","5","7"
118,私地,膳所,みらいこじょう保育園,大津市湖城が丘16-21,定員:19,6ヶ月～,"滋賀県/大津市/湖城が丘/１６番","135.87982","34.99108","5","7"
119,私地,晴嵐,にこにこ,大津市国分一丁目41-22,定員:5,6ヶ月～,"滋賀県/大津市/国分/一丁目/４１番","135.88988","34.96859","5","7"
120,私地,晴嵐,ひなたぼっこ,大津市国分二丁目7-22,定員:5,生後57日～,"滋賀県/大津市/国分/二丁目/７番","135.88898","34.96312","5","7"
121,私地,晴嵐,石山くじら小規模保育園,大津市栄町13-3,定員:12,生後57日～,"滋賀県/大津市/栄町/１３番","135.90053","34.97575","5","7"
122,私地,晴嵐,唐橋くじら小規模保育園,大津市唐橋町17-25,定員:12,生後57日～,"滋賀県/大津市/唐橋町/１７番","135.90446","34.97318","5","7"
123,私地,瀬田,大江たっち小規模保育園,大津市大江二丁目20-9,定員:12,6ヶ月～,"滋賀県/大津市/大江/二丁目/２０番","135.91568","34.97925","5","7"
124,私地,瀬田,小規模保育所ぽぽら,大津市大江五丁目35－9,定員:11,生後57日～,"滋賀県/大津市/大江/五丁目/３５番","135.92628","34.97572","5","7"
125,私地,瀬田北,れもんのこ瀬田駅前保育園,大津市大萱一丁目3-13,定員:19,6ヶ月～,"滋賀県/大津市/大萱/一丁目/３番","135.92209","34.98385","5","7"
126,私地,瀬田北,サンライズキッズ保育園瀬田駅前園,大津市大萱一丁目6-18,定員:12,4ヶ月～,"滋賀県/大津市/大萱/一丁目/６番","135.92329","34.98447","5","7"
127,私地,瀬田北,瀬田サンフレンズ保育園,大津市大萱一丁目16-15 2階,定員:19,生後57日～,"滋賀県/大津市/大萱/一丁目/１６番","135.92644","34.98624","5","7"
128,私地,瀬田北,サンライズキッズ保育園大津園,大津市萱野浦24-50,定員:19,4ヶ月～,"滋賀県/大津市/萱野浦/２４番","135.91054","34.98965","5","7"
129,私地,瀬田東,ふたば,大津市一里山三丁目1-1,定員:5,生後57日～,"滋賀県/大津市/一里山/三丁目/１番","135.93242","34.98579","5","7"
130,私地,瀬田東,えんじぇる,大津市一里山三丁目1-1,定員:5,3ヶ月～,"滋賀県/大津市/一里山/三丁目/１番","135.93242","34.98579","5","7"
131,私地,瀬田東,京進のほいくえんHOPPA瀬田駅園,大津市一里山一丁目6-23,定員:12,3ヶ月～,"滋賀県/大津市/一里山/一丁目/６番","135.92723","34.98348","5","7"
132,私地,瀬田東,小規模保育施設えんじぇるはうす,大津市一里山二丁目14-25 1階,定員:19,3ヶ月～,"滋賀県/大津市/一里山/二丁目/１４番","135.92969","34.98149","5","7"
133,私地,瀬田東,ふぁみぃゆ保育園,大津市一里山三丁目1-1,定員:12,生後57日,"滋賀県/大津市/一里山/三丁目/１番","135.93242","34.98579","5","7"
